subregion,total
Volusia,299
Brevard,144
Palm beach,75
St Johns,41
Duval,39
Martin,37
St Lucie,33
Indian River,22
Miami-Dade,16
Monroe,16
Broward,14
Pinellas,12
Bay,9
Collier,8
Lee,8
Sarasota,7
Escambia,6
Flagler,6
Manatee,4
Nassau,4
Okaloosa,4
Franklin,2
Gulf,2
Charlotte,1
Santa Rosa,1
Walton,1
Alachua,0
Baker,0
Bradford,0
Calhoun,0
Citrus,0
Clay,0
Columbia,0
De Soto,0
Dixie,0
Gadsden,0
Gilchrist,0
Glades,0
Hamilton,0
Hardee,0
Hendry,0
Hernando,0
Highlands,0
Hillsborough,0
Holmes,0
Jackson,0
Jefferson,0
Lafayette,0
Lake,0
Leon,0
Levy,0
Liberty,0
Madison,0
Marion,0
Okeechobee,0
Orange,0
Osceola,0
Pasco,0
Polk,0
Putnam,0
Seminole,0
Sumter,0
Suwannee,0
Taylor,0
Union,0
Wakulla,0
Washington,0
